
> otp-site-1@1.3.0 start
> node server.js

✅ Supabase Admin Initialized
✅ Gemini API Key found

🚀 OTP SECURE SERVER V1.3.1 ONLINE
🔒 Security Headers: ENABLED
📦 Compression: ENABLED
🔑 Auth System: JWT ENABLED
📡 Local: http://localhost:3000

[2026-03-09T13:48:31.465Z] GET /styles.css?v=1773059410 - IP: 127.0.0.1
[2026-03-09T13:48:31.492Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:48:31.494Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:48:31.497Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:48:31.515Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:48:31.515Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:48:31.515Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:48:31.520Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:48:31.809Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:48:32.823Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:48:38.609Z] GET /insight.html?slug=spooky-luh-ooky - IP: 127.0.0.1
[2026-03-09T13:48:38.616Z] GET /styles.css?v=1773059415 - IP: 127.0.0.1
[2026-03-09T13:48:38.855Z] POST /api/analytics/view - IP: 127.0.0.1
[2026-03-09T13:48:45.242Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:48:46.789Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:48:46.977Z] POST /api/analytics/view - IP: 127.0.0.1
[2026-03-09T13:49:10.372Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:49:52.308Z] GET /archive.html - IP: 127.0.0.1
[2026-03-09T13:49:55.557Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:49:55.566Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:51:14.976Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:53:44.746Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:56:11.785Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:56:11.801Z] GET /styles.css?v=1773059410 - IP: 127.0.0.1
[2026-03-09T13:56:11.801Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:56:11.803Z] GET /assets/otp.gif - IP: 127.0.0.1
[2026-03-09T13:56:11.840Z] GET /site-config.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:56:11.844Z] GET /site.webmanifest - IP: 127.0.0.1
[2026-03-09T13:56:11.847Z] GET /pay_v2.js?v=1773059408 - IP: 127.0.0.1
[2026-03-09T13:56:11.863Z] GET /stars-v2.js - IP: 127.0.0.1
[2026-03-09T13:56:11.865Z] GET /site-init.js - IP: 127.0.0.1
[2026-03-09T13:56:11.865Z] GET /audit-engine.js - IP: 127.0.0.1
[2026-03-09T13:56:11.876Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:56:12.122Z] GET /favicon.png - IP: 127.0.0.1
[2026-03-09T13:56:14.645Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:56:14.658Z] GET /blog-enhancements.css - IP: 127.0.0.1
[2026-03-09T13:56:17.728Z] GET /insight.html?slug=spooky-luh-ooky - IP: 127.0.0.1
[2026-03-09T13:56:17.912Z] POST /api/analytics/view - IP: 127.0.0.1
[2026-03-09T13:56:23.946Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:56:29.128Z] GET /archive.html - IP: 127.0.0.1
[2026-03-09T13:56:33.011Z] GET /archive.html - IP: 127.0.0.1
[2026-03-09T13:56:35.112Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:56:35.120Z] GET /assets/hero_eye_3d.gif - IP: 127.0.0.1
[2026-03-09T13:56:36.579Z] GET /insights.html - IP: 127.0.0.1
[2026-03-09T13:56:41.244Z] GET /insight.html?slug=whats-elegant-about-eli3gant - IP: 127.0.0.1
[2026-03-09T13:56:41.449Z] POST /api/analytics/view - IP: 127.0.0.1
[2026-03-09T13:58:22.150Z] GET /index.html - IP: 127.0.0.1
[2026-03-09T13:58:24.181Z] GET /insights.html - IP: 127.0.0.1
